,LDR1,LDR2,button
1020,548,678,0
1021,547,670,0
1022,547,670,0
1023,546,665,0
1024,545,668,0
1025,546,657,0
1026,547,663,0
1027,546,660,0
1028,547,660,0
1029,545,658,0
1030,546,659,0
1031,545,660,0
1032,545,666,0
1033,532,651,0
1034,534,657,0
1035,551,673,0
1036,548,668,0
1037,550,672,0
1038,549,670,0
1039,547,667,0
1040,550,671,0
1041,549,669,0
1042,550,670,0
1043,548,668,0
1044,547,663,0
1045,547,666,0
1046,547,666,0
1047,551,671,0
1048,548,667,0
1049,564,678,0
1050,576,689,0
1051,604,754,0
1052,640,777,0
1053,637,779,0
1054,635,778,0
1055,789,779,1
1056,792,780,1
1057,791,773,1
1058,792,781,1
1059,792,782,1
1060,791,783,1
1061,792,793,1
1062,792,794,1
1063,792,794,1
1064,791,790,1
1065,695,790,0
1066,645,799,0
1067,669,790,0
1068,673,756,0
1069,708,844,0
1070,716,848,0
1071,813,846,1
1072,813,844,1
1073,812,843,1
1074,813,848,1
1075,812,848,1
1076,813,848,1
1077,815,850,1
1078,815,850,1
1079,718,848,0
1080,716,848,0
1081,714,847,0
1082,713,847,0
1083,710,845,0
1084,709,843,0
1085,711,845,0
1086,712,844,0
1087,714,845,0
1088,717,846,0
1089,814,844,1
1090,814,844,1
1091,814,844,1
1092,815,846,1
1093,815,845,1
1094,817,846,1
1095,816,846,1
1096,816,844,1
1097,707,832,0
1098,552,760,0
1099,520,617,0
1100,517,715,0
1101,532,846,0
1102,556,892,0
1103,567,899,0
1104,562,892,0
1105,554,888,0
1106,553,889,0
1112,536,886,0
1113,529,895,0
1114,525,881,0
1115,508,866,0
1116,491,847,0
1117,452,761,0
1118,471,653,0
1119,540,650,0
1120,638,783,0
1121,704,866,0
1122,739,884,0
1123,735,883,0
1124,679,864,0
1125,588,707,0
1126,549,671,0
1127,550,674,0
1128,543,664,0
1129,536,654,0
1130,539,659,0
1131,537,656,0
1132,536,654,0
1133,539,660,0
1134,536,655,0
1135,537,655,0
1136,537,657,0
1137,538,655,0
1138,547,664,0
1139,552,686,0
1140,545,665,0
1141,546,666,0
1142,361,463,0
1143,296,343,0
1144,234,314,0
1145,230,323,0
1146,213,298,0
1147,185,285,0
1148,184,287,0
1149,182,285,0
1150,181,281,0
1151,181,273,0
1152,180,257,0
1153,180,259,0
1154,179,255,0
1155,184,259,0
1156,194,260,0
1157,178,264,0
1158,188,291,0
1159,329,454,0
1160,290,340,0
1161,225,237,0
1162,748,101,1
1163,748,91,1
1164,177,60,0
1165,119,54,0
1166,110,50,0
1167,99,40,0
1168,744,44,1
1169,748,47,1
1170,747,48,1
1171,747,49,1
1172,747,48,1
1173,747,48,1
1174,747,46,1
1175,747,47,1
1176,112,42,0
1177,97,43,0
1178,115,62,0
1179,167,164,0
1180,301,428,0
1181,463,556,0
1182,456,574,0
1183,441,574,0
1184,448,601,0
1185,478,643,0
1186,388,573,0
1187,345,454,0
1188,371,498,0
1189,539,671,0
1190,559,702,0
1191,560,699,0
1192,558,695,0
1193,549,690,0
1194,482,647,0
1195,534,674,0
1196,539,680,0
1197,537,677,0
1198,547,686,0
1199,544,683,0
1200,490,646,0
1201,497,652,0
1202,506,657,0
1203,528,630,0
1204,516,664,0
1205,506,620,0
1206,444,561,0
1207,437,546,0
1208,420,558,0
1209,479,634,0
1210,723,887,0
1211,731,888,0
1212,730,888,0
1213,727,887,0
1214,730,887,0
1215,816,884,1
1216,815,884,1
1217,817,886,1
1218,818,888,1
1219,818,889,1
1225,820,882,1
1226,813,867,1
1227,803,830,1
1228,800,816,1
1229,800,818,1
1230,667,819,0
1231,667,819,0
1232,668,820,0
1233,669,820,0
1234,669,819,0
1235,801,819,1
1236,800,821,1
1237,801,820,1
1238,800,820,1
1239,666,819,0
1240,668,821,0
1241,667,819,0
1242,669,820,0
1243,667,819,0
1244,672,824,0
1245,671,822,0
1246,671,823,0
1247,670,823,0
1248,668,823,0
1249,802,818,1
1250,806,813,1
1251,805,835,1
1252,821,884,1
1253,820,891,1
1254,820,896,1
1255,818,888,1
1256,726,888,0
1275,825,899,1
1276,807,855,1
1277,769,666,1
1278,512,617,0
1279,493,650,0
1280,524,672,0
1281,541,681,0
1282,542,682,0
1283,541,681,0
1284,529,658,0
1285,544,686,0
1286,549,690,0
1287,547,687,0
1288,548,686,0
1289,549,687,0
1290,550,689,0
1291,548,687,0
1292,549,687,0
1293,550,689,0
1294,550,689,0
1295,551,691,0
1296,552,691,0
1297,549,687,0
1298,552,692,0
1299,550,688,0
1300,551,691,0
1301,549,688,0
1302,549,687,0
1303,549,689,0
1304,546,687,0
1305,519,653,0
1306,516,650,0
1307,768,635,1
1308,769,595,1
1309,770,639,1
1310,769,633,1
1311,467,592,0
1312,353,575,0
1313,386,580,0
1314,466,587,0
1315,700,646,1
1316,707,651,1
1317,707,630,1
1318,495,536,0
1319,514,558,0
1320,751,582,1
1321,753,594,1
1322,751,634,1
1323,746,590,1
1324,748,628,1
1325,749,631,1
1326,749,639,1
1327,750,648,1
1328,750,645,1
1329,750,659,1
1330,751,662,1
1331,751,660,1
1332,751,661,1
1333,751,667,1
1334,750,664,1
1335,548,656,0
1336,553,659,0
1337,556,664,0
1338,556,666,0
1339,552,660,0
1340,555,665,0
1341,551,657,0
1342,552,656,0
1343,510,599,0
1344,556,666,0
1345,752,655,1
1346,752,639,1
1347,534,600,0
1348,574,693,0
1349,575,694,0
1350,571,688,0
1351,572,689,0
1352,571,687,0
1353,570,686,0
1354,571,688,0
1355,570,688,0
1356,570,687,0
1357,571,688,0
1358,573,692,0
1359,572,690,0
1360,573,691,0
1361,570,688,0
1362,571,688,0
1363,573,690,0
1364,570,687,0
1365,570,686,0
1366,569,685,0
1367,572,688,0
1368,573,690,0
1369,572,690,0
1370,572,690,0
1371,569,686,0
1372,569,686,0
1373,569,687,0
1374,569,687,0
1375,570,687,0
1376,570,687,0
1377,570,687,0
1378,570,687,0
1379,573,691,0
1380,572,689,0
1381,573,692,0
1382,570,687,0
1383,570,687,0
1384,570,687,0
1385,571,687,0
1386,571,689,0
1387,570,687,0
1388,573,691,0
1389,570,687,0
1390,569,687,0
1391,572,691,0
1392,570,687,0
1393,571,688,0
1394,571,686,0
1395,570,684,0
1396,570,684,0
1397,570,684,0
1398,570,684,0
1399,572,687,0
1400,571,688,0
1401,570,684,0
1402,573,689,0
1403,570,685,0
1404,573,689,0
1405,570,685,0
1406,573,688,0
1407,571,688,0
1408,570,685,0
1409,573,689,0
1410,571,687,0
1411,571,686,0
1412,573,690,0
1413,571,686,0
1414,570,686,0
1415,571,686,0
1416,570,685,0
1417,570,685,0
1418,561,632,0
1419,552,587,0
1420,752,596,1
1421,752,613,1
1422,752,616,1
1423,752,625,1
1424,752,651,1
1425,565,682,0
1426,570,688,0
1427,570,687,0
1428,570,688,0
1429,570,687,0
1430,573,692,0
1431,571,687,0
1432,568,685,0
1433,526,647,0
1434,520,644,0
1435,626,779,0
1436,643,795,0
1437,638,789,0
1438,628,772,0
1439,629,774,0
1440,631,777,0
1441,627,773,0
1442,629,775,0
1443,629,774,0
1444,629,774,0
1445,628,774,0
1446,631,777,0
1447,628,774,0
1448,630,776,0
1449,630,775,0
1450,631,776,0
1451,628,774,0
1452,631,776,0
1453,629,774,0
1454,629,774,0
1455,630,776,0
1456,629,774,0
1457,629,774,0
1458,629,775,0
1459,629,775,0
1460,628,774,0
1461,628,774,0
1462,628,773,0
1463,628,774,0
1464,628,774,0
1465,631,776,0
1466,628,774,0
1467,629,774,0
1468,628,773,0
1469,628,773,0
1470,629,774,0
1471,628,774,0
1472,630,775,0
1473,629,774,0
1474,631,776,0
1475,628,773,0
1476,628,773,0
1477,628,774,0
1478,631,776,0
1479,629,774,0
1480,631,776,0
1481,631,776,0
1482,628,773,0
1483,628,773,0
1484,629,773,0
1485,629,774,0
1486,629,775,0
1487,628,774,0
1488,624,772,0
1489,629,775,0
1490,627,774,0
1491,598,680,0
1492,608,631,0
1493,763,544,1
1494,762,495,1
1495,624,761,0
1496,630,776,0
1497,628,774,0
1498,628,774,0
1499,631,776,0
1500,628,774,0
1501,627,773,0
1502,596,686,0
1503,570,656,0
1504,575,704,0
1505,615,737,0
1506,767,764,1
1507,767,764,1
1508,767,764,1
1509,767,766,1
1510,767,764,1
1511,619,765,0
1512,621,767,0
1513,619,765,0
1514,619,764,0
1515,768,766,1
1516,767,766,1
1517,629,757,0
1518,556,688,0
1519,556,689,0
1520,559,691,0
1521,560,689,0
1522,559,689,0
1523,555,686,0
1524,554,686,0
1525,556,685,0
1526,558,677,0
1527,558,681,0
1528,561,687,0
1529,534,681,0
1530,547,691,0
1531,533,657,0
1532,534,649,0
1533,503,589,0
1534,894,553,1
1535,893,539,1
1536,893,539,1
1537,893,548,1
1538,893,552,1
1539,893,547,1
1540,893,551,1
1541,893,502,1
1542,892,582,1
1543,892,575,1
1544,892,574,1
1545,893,616,1
1546,892,574,1
1547,423,497,0
1548,463,638,0
1549,406,640,0
1550,387,642,0
1551,406,639,0
1552,389,642,0
1553,429,640,0
1554,460,632,0
1555,467,639,0
1556,483,651,0
1557,490,666,0
1558,460,644,0
1559,425,659,0
1560,404,661,0
1561,464,670,0
1562,458,663,0
1563,467,665,0
1564,484,670,0
1565,470,676,0
1566,480,667,0
1567,487,681,0
1568,458,671,0
1569,468,673,0
1570,447,553,0
1571,882,585,1
1572,885,558,1
1573,885,553,1
1574,885,554,1
1575,885,551,1
1576,885,547,1
1577,885,551,1
1578,886,579,1
1579,886,557,1
1580,885,565,1
1581,517,683,0
1582,530,693,0
1583,560,708,0
1584,562,707,0
1585,530,686,0
1586,511,670,0
1587,523,678,0
1588,498,649,0
1589,556,701,0
1590,506,653,0
1591,579,714,0
1592,578,711,0
1593,580,710,0
1594,580,700,0
1595,489,612,0
1596,498,627,0
1597,540,629,0
1598,503,604,0
1599,497,560,0
1600,886,610,1
1601,570,691,0
1602,527,672,0
1603,533,676,0
1604,576,714,0
1605,590,720,0
1606,591,722,0
1607,589,719,0
1608,588,720,0
1609,580,713,0
1610,579,712,0
1611,578,712,0
1612,578,712,0
1613,577,711,0
1614,578,711,0
1615,581,714,0
1616,577,710,0
1617,583,716,0
1618,573,714,0
1619,585,717,0
1620,586,718,0
1621,587,720,0
1622,590,722,0
1623,588,719,0
1624,589,721,0
1625,588,720,0
1626,587,719,0
1627,588,720,0
1628,588,722,0
1629,585,718,0
1630,581,717,0
1631,590,723,0
1632,587,719,0
1633,588,719,0
1634,588,719,0
1635,588,719,0
1636,586,719,0
1637,589,719,0
1638,588,720,0
1639,588,719,0
1640,588,720,0
1641,585,718,0
1642,590,723,0
1643,588,720,0
1644,585,718,0
1645,589,723,0
1646,591,724,0
1647,587,720,0
1648,585,719,0
1649,589,723,0
1650,592,721,0
1651,593,721,0
1652,591,721,0
1653,589,723,0
1654,584,718,0
1655,590,724,0
1656,577,712,0
1657,581,718,0
1658,566,701,0
1659,565,702,0
1660,562,697,0
1661,567,700,0
1662,556,691,0
1663,583,719,0
1664,584,720,0
1665,557,682,0
1666,559,671,0
1667,567,686,0
1668,565,693,0
1669,572,699,0
1670,578,704,0
1671,513,655,0
1672,500,642,0
1673,554,683,0
1674,554,684,0
1675,887,656,1
1676,887,666,1
1677,888,667,1
1678,887,638,1
1679,887,651,1
1680,887,651,1
