"id","LDR1","LDR2","button"
"4263","586","1023","278"
"4264","857","1023","383"
"4265","857","1023","383"
"4266","857","1023","383"
"4267","585","1023","278"
"4268","857","1023","383"
"4269","590","1023","278"
"4270","591","1023","278"
"4271","857","1023","383"
"4272","590","1023","278"
"4273","857","1023","383"
"4274","857","1023","383"
"4275","590","1023","279"
"4276","590","1023","279"
"4277","590","1023","279"
"4278","590","1023","279"
"4279","591","1023","278"
"4280","588","1023","278"
"4281","590","1023","279"
"4282","590","1023","279"
"4283","590","1023","279"
"4284","591","1023","279"
"4285","591","1023","279"
"4286","591","1023","279"
"4287","590","1023","279"
"4288","590","1023","279"
"4289","591","1023","279"
"4290","590","1023","279"
"4291","591","1023","279"
"4292","590","1023","279"
"4293","591","1023","279"
"4294","590","1023","279"
"4295","591","1023","279"
"4296","591","1023","279"
"4297","590","1023","279"
"4298","591","1023","279"
"4299","591","1023","279"
"4300","591","1023","279"
"4301","591","1023","279"
"4302","591","1023","279"
"4303","587","1023","279"
"4304","587","1023","279"
"4305","591","1023","279"
"4306","591","1023","279"
"4307","589","1023","279"
"4308","858","1023","383"
"4309","587","1023","279"
"4310","858","1023","383"
"4311","591","1023","279"
"4312","858","1023","383"
"4313","858","1023","383"
"4314","858","1023","383"
"4315","858","1023","383"
"4316","590","1023","279"
"4317","591","1023","279"
"4318","586","1023","278"
"4319","587","1023","278"
"4320","586","1023","279"
"4321","588","1023","279"
"4322","587","1023","279"
"4323","587","1023","278"
"4324","607","1023","278"
"4325","586","1023","279"
"4326","587","1023","279"
"4327","586","1023","279"
"4328","587","1023","279"
"4329","586","1023","279"
"4330","586","1023","279"
"4331","586","1023","279"
"4332","587","1023","279"
"4333","586","1023","279"
"4334","586","1023","279"
"4335","587","1023","279"
"4336","586","1023","281"
"4337","587","1023","279"
"4338","587","1023","279"
"4339","587","1023","279"
"4340","858","1023","383"
"4341","858","1023","383"
"4342","858","1023","383"
"4343","858","1023","383"
"4344","858","1023","383"
"4345","858","1023","383"
"4346","857","1023","383"
"4347","857","1023","383"
"4348","857","1023","383"
"4349","857","1023","383"
"4350","858","1023","383"
"4351","857","1023","383"
"4352","857","1023","383"
"4353","857","1023","383"
"4354","590","1023","278"
"4355","858","1023","383"
"4356","858","1023","383"
"4357","586","1023","279"
"4358","857","1023","383"
"4359","586","1023","278"
"4360","586","1023","279"
"4361","586","1023","279"
"4362","858","1023","383"
"4363","858","1023","383"
"4364","857","1023","383"
"4365","858","1023","383"
"4366","857","1023","383"
"4367","595","1023","278"
"4368","586","1023","279"
"4369","585","1023","278"
"4370","587","1023","279"
"4371","587","1023","279"
"4372","586","1023","279"
"4373","586","1023","279"
"4374","586","1023","279"
"4375","858","1023","383"
"4376","857","1023","383"
"4377","587","1023","279"
"4378","858","1023","383"
"4379","858","1023","383"
"4380","857","1023","383"
"4381","857","1023","383"
"4382","585","1023","278"
"4383","586","1023","278"
"4384","857","1023","383"
"4385","590","1023","279"
"4386","591","1023","279"
"4387","590","1023","279"
"4388","590","1023","279"
"4389","858","1023","383"
"4390","591","1023","279"
"4391","590","1023","279"
"4392","590","1023","279"
"4393","590","1023","279"
"4394","591","1023","279"
"4395","590","1023","279"
"4396","590","1023","279"
"4397","590","1023","279"
"4398","590","1023","279"
"4399","590","1023","279"
"4400","590","1023","279"
"4401","590","1023","279"
"4402","590","1023","279"
"4403","591","1023","279"
"4404","591","1023","279"
"4405","592","1023","279"
"4406","590","1023","279"
"4407","591","1023","279"
"4408","591","1023","279"
"4409","591","1023","279"
"4410","592","1023","279"
"4411","592","1023","279"
"4412","591","1023","279"
"4413","592","1023","279"
"4414","591","1023","279"
"4415","591","1023","279"
"4416","591","1023","279"
"4417","591","1023","279"
"4418","591","1023","279"
"4419","592","1023","279"
"4420","590","1023","279"
